"Company Location","Job Functions","Employment Type","Industry","Company Name","position","Seniority Level"
"Warsaw, PL","Consulting Information Technology Sales","Full-time","Information Technology & Services Computer Software Management Consulting","ANEGIS","Junior consultant","Entry level",
"Warsaw, PL","Consulting Information Technology Sales","Full-time","Information Technology & Services Computer Software Management Consulting","ANEGIS","Junior consultant","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Internet","Facebook","Client Solutions Manager, CEE","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Internet","Facebook","Client Solutions Manager, CEE","Entry level",
"Niepołomice, PL","Information Technology","Full-time","Telecommunications","FCA Sp. z o.o.","Administrator Sieci Dostępowej","Entry level",
"Niepołomice, PL","Information Technology","Full-time","Telecommunications","FCA Sp. z o.o.","Administrator Sieci Dostępowej","Entry level",
"Radom, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","krojczy","Entry level",
"Radom, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","krojczy","Entry level",
"Opole, PL","Other","Full-time","Real Estate","KOB","Zbrojarz","Entry level",
"Pabianice, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Bydgoszcz, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Fallwork Sp. z.o.o.","Praca dorywcza od 8-11.03.20","Associate",
"Warsaw, PL","Design Art/Creative Information Technology","Full-time","Information Technology & Services Environmental Services Staffing & Recruiting","PharmiWeb.Jobs","Digital Health R&D Process Manager","Entry level",
"Poznań, PL","Administrative","Full-time","Marketing & Advertising Management Consulting Financial Services","Allegro","Business Applications Administrator (Salesforce)","Mid-Senior level",
"Gniezno, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","HRK S.A.","Automatyk","Mid-Senior level",
"Warsaw, PL","Finance Analyst Accounting/Auditing","Full-time","Electrical & Electronic Manufacturing Aviation & Aerospace Automotive","Eaton","Manager - Transfer Pricing Controversy (EMEA)","Director",
"Zawiercie, PL","Other","Full-time","Electrical & Electronic Manufacturing","Allegion, PLC","szlifierz","Director",
"Leszno, PL","Sales Business Development","Full-time","Information Technology & Services","Progres S.A.","Magazynier / Ekspedycja magazynowa","Entry level",
"Leszno, PL","Sales Business Development","Full-time","Information Technology & Services","Progres S.A.","Magazynier / Ekspedycja magazynowa","Entry level",
"Niepołomice, PL","Sales Business Development","Full-time","Staffing & Recruiting","InterKadra Sp. z o.o.","Merchandiser mobilny","Entry level",
"Niepołomice, PL","Sales Business Development","Full-time","Staffing & Recruiting","InterKadra Sp. z o.o.","Merchandiser mobilny","Entry level",
"Opole, PL","Other","Full-time","Media Production","The Argus","Praca w ochronie","Entry level",
"Opole, PL","Other","Full-time","Media Production","The Argus","Praca w ochronie","Entry level",
"Częstochowa, PL","Other","Full-time","Financial Services","Capital Service S.A. - loan originator, financial broker","Menadżer Regionu","Entry level",
"Częstochowa, PL","Other","Full-time","Financial Services","Capital Service S.A. - loan originator, financial broker","Menadżer Regionu","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Data Analyst (Warsaw, 3350878)","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Data Analyst (Warsaw, 3350878)","Entry level",
"Warsaw, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Opiekunka","Entry level",
"Warsaw, PL","Sales Business Development","Full-time","Information Technology & Services Financial Services Hospital & Health Care","Jobman Group Sp. z o.o.","Magazynier/Pakowacz","Entry level",
"Świętokrzyskie, PL","Health Care Provider","Full-time","Hospital & Health Care","BetaMed SA","Pielęgniarka","Associate",
"Świętokrzyskie, PL","Health Care Provider","Full-time","Hospital & Health Care","BetaMed SA","Pielęgniarka","Associate",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","PMSolutions","wsparcie użytkowników NIEMIECKI","Associate",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","PMSolutions","wsparcie użytkowników NIEMIECKI","Associate",
"Mazurskie, PL","Other","Full-time","Utilities","Zakład Utylizacyjny Sp. z o.o.","Murarz","Entry level",
"Mazurskie, PL","Other","Full-time","Utilities","Zakład Utylizacyjny Sp. z o.o.","Murarz","Entry level",
"Kraków, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Internet","Codete GmbH","Go Developer @ Codete","Entry level",
"Wrocław, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Staffing & Recruiting","NBCR Rekrutacja IT Sp. z o.o.","Młodszy Tester","Entry level",
"Lubsko, PL","Health Care Provider","Full-time","Hospital & Health Care","DOM POMOCY SPOLECZNEJ","pielęgniarka","Associate",
"Lubin, PL","Management Manufacturing","Full-time","Mining & Metals","ZUW URBEX Sp. z o.o.","Elektromonter","Entry level",
"Warsaw, PL","Other","Full-time","Banking Financial Services Investment Banking","Citi","KYC Analyst with Turkish","Entry level",
"Pszczyna, PL","Management Manufacturing","Full-time","Electrical & Electronic Manufacturing","Zamel","Montażysta","Associate",
"Wrocław, PL","Administrative","Full-time","Mechanical Or Industrial Engineering Oil & Energy Insurance","Salvor Sp. z o.o. i Wspólnicy Sp. kom.","Document Controller - Wroclaw, PL","Director",
"Warsaw, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","LeasingTeam Group","Lider","Associate",
"Warsaw, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","LeasingTeam Group","Lider","Associate",
"Gdańsk, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Gdańsk, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Katowice, PL","Other","Full-time","Education Management","Study Queensland","Wyniki konkursu na stanowisko adiunkta, przeprowadzonego w IETU w dniach od 18 lutego do 19 marca 2019 r.","Associate",
"Katowice, PL","Other","Full-time","Education Management","Study Queensland","Wyniki konkursu na stanowisko adiunkta, przeprowadzonego w IETU w dniach od 18 lutego do 19 marca 2019 r.","Associate",
"Toruń, PL","Management Manufacturing","Full-time","Consumer Goods","TZMO S.A.","Dyspozytor Magazynowy","Entry level",
"Toruń, PL","Management Manufacturing","Full-time","Consumer Goods","TZMO S.A.","Dyspozytor Magazynowy","Entry level",
"Iława, PL","Health Care Provider","Full-time","Hospital & Health Care","Diaverum","Lekarz/Lekarka","Associate",
"Iława, PL","Health Care Provider","Full-time","Hospital & Health Care","Diaverum","Lekarz/Lekarka","Associate",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","HYDRAULIK - do przyuczenia","Entry level",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","HYDRAULIK - do przyuczenia","Entry level",
"Bydgoszcz, PL","Other","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Telemonter","Entry level",
"Bydgoszcz, PL","Other","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Telemonter","Entry level",
"Piotrków Trybunalski, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Piotrków Trybunalski, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Koordynator woj. Łódzkie","Associate",
"Wejherowo, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","HYDRAULIK","Entry level",
"Wejherowo, PL","Management Manufacturing","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","HYDRAULIK","Entry level",
"Zabrze, PL","Other","Full-time","Food Production","Zaklady Miesne NOVE","Stanowisko: Elektromechanik","Entry level",
"Warsaw, PL","Engineering Information Technology","Full-time","Information Technology & Services Environmental Services Staffing & Recruiting","PharmiWeb.Jobs","Centralized Monitoring Analyst (programming in R experience)","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","IT Helpdesk","Entry level",
"Pszczyna, PL","Sales Business Development","Full-time","Staffing & Recruiting Human Resources Retail","InterKadra Sp. z o.o.","Merchandiser mobilny","Entry level",
"Opole, PL","Other","Full-time","Media Production","The Argus","Praca w ochronie","Entry level",
"Warsaw, PL","Business Development Sales","Full-time","Information Technology & Services Internet Hospital & Health Care","Lingaro","Junior Bi Developer @ Lingaro","Entry level",
"Radomsko, PL","Other","Full-time","Financial Services","Capital Service S.A. - loan originator, financial broker","Menadżer Regionu","Entry level",
"Zaścianki, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Administrator ds. IT","Entry level",
"Zaścianki, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Administrator ds. IT","Entry level",
"Zaścianki, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","APARATOWY","Entry level",
"Zaścianki, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","APARATOWY","Entry level",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Executive Assistant (Wrocław, 3341734)","Associate",
"Wrocław, PL","Administrative","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Executive Assistant (Wrocław, 3341734)","Associate",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Associate",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Associate",
"Lublin, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Internet","Codete GmbH","Go Developer @ Codete","Entry level",
"Lublin, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Internet","Codete GmbH","Go Developer @ Codete","Entry level",
"Opole, PL","Management Manufacturing","Full-time","Real Estate","KOB","Cieśla","Entry level",
"Opole, PL","Management Manufacturing","Full-time","Real Estate","KOB","Cieśla","Entry level",
"Lublin, PL","Management Manufacturing","Full-time","Staffing & Recruiting","Agencja Zatrudnienia Sidrom Sp. z o.o.","Zrywkarz, operator do zrywki drewna - praca we Francji","Entry level",
"Lublin, PL","Management Manufacturing","Full-time","Staffing & Recruiting","Agencja Zatrudnienia Sidrom Sp. z o.o.","Zrywkarz, operator do zrywki drewna - praca we Francji","Entry level",
"Warsaw, PL","Project Management Information Technology","Full-time","Information Technology & Services Computer Software Management Consulting","Exorigo-Upos","Project Manager - Kierownik Projektu","Entry level",
"Wrocław, PL","Management Manufacturing","Full-time","Mechanical Or Industrial Engineering Oil & Energy Insurance","Salvor Sp. z o.o. i Wspólnicy Sp. kom.","Graduate Process Engineer - Wroclaw, PL","Entry level",
"Warsaw, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Warsaw, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Głogów, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Associate",
"Warsaw, PL","Management Manufacturing","Full-time","Logistics & Supply Chain","InPost","Kurier MPOK","Entry level",
"Kraków, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Financial Services","Avance Consulting","User Experience Tester","Entry level",
"Wiślinka, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","HYDRAULIK","Entry level",
"Olesno, PL","Management Manufacturing","Full-time","Internet","MCK","Stolarz","Entry level",
"Kobyłka, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Global Spolka z o.o.","Wykładanie towaru i prace porządkowe Kobyłka!","Entry level",
"Kutno, PL","Management Manufacturing","Full-time","Information Technology & Services","Progres S.A.","EHS Manager","Associate",
"Miedźna, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","IT Helpdesk","Entry level",
"Miedźna, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","IT Helpdesk","Entry level",
"Dobrzeń Wielki, PL","Other","Full-time","Media Production","The Argus","Praca w ochronie","Entry level",
"Dobrzeń Wielki, PL","Other","Full-time","Media Production","The Argus","Praca w ochronie","Entry level",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Ślusarz","Entry level",
"Bydgoszcz, PL","Engineering Information Technology","Full-time","Railroad Manufacture","Kolejowe Zakłady Łączności sp. z o.o.","Ślusarz","Entry level",
"Kraków, PL","Other","Full-time","Marketing & Advertising Computer Software Internet","Bidroom","DevOps","Entry level",
"Kraków, PL","Other","Full-time","Marketing & Advertising Computer Software Internet","Bidroom","DevOps","Entry level",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","Jobman Group Sp. z o.o.","Wykładanie towaru","Entry level",
"Zabrze, PL","Engineering Information Technology","Full-time","Food Production","Zaklady Miesne NOVE","Stanowisko: Ślusarz","Entry level",
"Zabrze, PL","Engineering Information Technology","Full-time","Food Production","Zaklady Miesne NOVE","Stanowisko: Ślusarz","Entry level",
"Warsaw, PL","Quality Assurance","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","PMSolutions","QA Project Lead","Associate",
"Warsaw, PL","Quality Assurance","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","PMSolutions","QA Project Lead","Associate",
"Niepołomice, PL","Management Manufacturing","Full-time","Telecommunications","FCA Sp. z o.o.","Monter na produkcje","Entry level",
"Niepołomice, PL","Management Manufacturing","Full-time","Telecommunications","FCA Sp. z o.o.","Monter na produkcje","Entry level",
"Lublin, PL","Management Manufacturing","Full-time","Real Estate","KOB","Cieśla","Entry level",
"Lublin, PL","Management Manufacturing","Full-time","Real Estate","KOB","Cieśla","Entry level",
"Gliwice, PL","Project Management Information Technology","Full-time","Information Technology & Services Computer Software Management Consulting","Exorigo-Upos","Project Manager - Kierownik Projektu","Entry level",
"Sopot, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Wołów, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Associate",
"Łódź, PL","Other","Full-time","Financial Services","Powiatowy Urząd Pracy Łodzi ul. Milionowa","Koordynator","Associate",
"Olesno, PL","Management Manufacturing","Full-time","Internet","MCK","Pomocnik tapicera","Entry level",
"Pruszcz Gdański, PL","Management Manufacturing","Full-time","Internet","Progres Sp. Z o.o.","ELEKTRYK - do przyuczenia","Entry level",
"Warsaw, PL","Management Manufacturing","Full-time","Internet","Cyclad","IT Helpdesk","Entry level",
"Świdwin, PL","Management Manufacturing","Full-time","Internet","Powiatowy Urząd Pracy w Świnoujściu","Kopacz ziemi","Entry level",
"Świdwin, PL","Management Manufacturing","Full-time","Internet","Powiatowy Urząd Pracy w Świnoujściu","Kopacz ziemi","Entry level",
"Bydgoszcz, PL","Management Manufacturing","Full-time","Internet","Kolejowe Zakłady Łączności sp. z o.o.","Ślusarz","Entry level",
"Bydgoszcz, PL","Management Manufacturing","Full-time","Internet","Kolejowe Zakłady Łączności sp. z o.o.","Ślusarz","Entry level",
