,Time,Experience,Role,Industry,Size,Company,Salary,Remote,Locations,Tags,Min_Salary,Max_Salary,Currency,Min_Annual_Eur_Salary,Max_Annual_Eur_Salary,Additional
31,Internship,Student,QA/Test Developer,"E-Commerce, SaaS, Web Technology",501–1k people,Private,None,None,"Hamburg,Deutschland","['security', 'testing']",0.0,0.0,,,,
34,Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Information Technology, Product Development, Real Estate",11–50 people,Private,None,None,"Melbourne,Australia","['reactjs', 'java', 'python', 'graphql', 'amazon-web-services']",0.0,0.0,,,,
36,Full-time,None,System Administrator,None,None,None,None,None,"MinatoCity,Japan","['redis', 'c#', 'asp.net']",0.0,0.0,,,,
40,Full-time,None,Backend Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"Redmond,WA","['c++', 'qt', 'api']",0.0,0.0,,,,
44,Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['ios', 'javascript', 'reactjs']",0.0,0.0,,,,
46,Full-time,Mid-Level,Mobile Developer,"Cybersecurity, Software Development, Software Development / Engineering",1k–5k people,Private,None,None,"Moscow,Russia","['ios', 'swift', 'objective-c']",0.0,0.0,,,,
50,Full-time,None,Database Administrator,None,None,None,None,None,"Hyderabad,India","['oracle', 'unix', 'java']",0.0,0.0,,,,
52,Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['android', 'java', 'mobile']",0.0,0.0,,,,
53,Full-time,None,Database Administrator,None,None,None,None,None,"Kitakyushu,Japan","['c#', 'java', 'oracle']",0.0,0.0,,,,
57,Full-time,"Mid-Level, Senior, Lead",DevOps,None,None,None,None,None,"Haymarket,Australia","['.net', 'devops', 'sql', 'continuous-integration', 'continuous-deployment']",0.0,0.0,,,,
58,Full-time,None,System Administrator,None,None,None,None,None,"ShinagawaCity,Japan","['apache', 'amazon-web-services', 'apache-spark']",0.0,0.0,,,,
59,Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['android', 'java', 'mobile']",0.0,0.0,,,,
61,Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['reactjs', 'android', 'ios']",0.0,0.0,,,,
63,Full-time,None,DevOps,"Financial Services, Information Technology, Software Development",201–500 people,Private,None,None,"Mason,OH","['azure', 'sql', 'agile']",0.0,0.0,,,,
64,Full-time,"Mid-Level, Senior",DevOps,"Computer Software, Financial Technology",11–50 people,Private,None,None,"Schlieren,Switzerland","['java', 'sql', 'python', 'mobile', 'devops']",0.0,0.0,,,,
70,Full-time,"Junior, Mid-Level",Frontend Developer,"Software Consulting, Software Development, Software Development / Engineering",501–1k people,Private,None,On-siteandlimitedremote,"Aachen,Deutschland",[],0.0,0.0,,,,
72,Full-time,None,Mobile Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"London,UK",[],0.0,0.0,,,,
76,Full-time,"Student, Mid-Level",System Administrator,"Agile Software Development, Enterprise Software, IT Consulting",201–500 people,Private,None,On-siteandlimitedremote,"Leinfelden-Echterdingen,Germany",[],0.0,0.0,,,,
79,Full-time,Mid-Level,Embedded Developer,None,None,None,None,None,"Oslo,Norwegen","['c++', 'rust', 'grpc', 'ros']",0.0,0.0,,,,
80,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['php', 'jquery', 'mysql']",0.0,0.0,,,,
83,Full-time,None,Mobile Developer,None,None,None,None,None,"ChuoCity,Japan","['swift', 'objective-c', 'ruby-on-rails']",0.0,0.0,,,,
84,Full-time,None,Mobile Developer,None,None,None,None,None,"ChuoCity,Japan","['ios', 'android', 'c#']",0.0,0.0,,,,
85,Full-time,None,Backend Developer,None,None,None,None,None,"Hyderabad,India","['ajax', 'hibernate', 'mysql']",0.0,0.0,,,,
87,Full-time,Mid-Level,System Administrator,"Computer Software, Data & Analytics, Financial Technology",10k+ people,Public,None,None,"London,UK","['cloud', 'amazon-web-services', 'python']",0.0,0.0,,,,
90,Full-time,None,Mobile Developer,None,None,None,None,None,"Naha,Japan","['amazon-web-services', 'android', 'java']",0.0,0.0,,,,
95,Full-time,"Junior, Mid-Level, Senior",Mobile Developer,None,None,None,€50k - 62k (Euros),None,"Berlin,Deutschland","['ios', 'swift', 'blockchain', 'eos']",50000.0,62000.0,€,50000.0,62000.0,
99,Full-time,"Mid-Level, Senior, Lead",QA/Test Developer,"Mobile Game, PC Games, Web Development",11–50 people,VC Funded,$100k - 120k (US Dollars),None,"LongBeach,CA","['automated-tests', 'testing', 'unit-testing', 'node.js', 'discord']",100000.0,120000.0,$,92592.59259259258,111111.11111111111,
101,Full-time,Senior,DevOps,"Mobile, Software Development / Engineering, Telecommunications",51–200 people,Private,None,None,"Reston,VA","['linux', 'docker', 'python', 'virtualization']",0.0,0.0,,,,
104,Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Computer Software, Government, Software Development",51–200 people,Private,None,None,"Ahrensfelde,Deutschland","['java', 'java-ee', 'eclipse', 'mysql', 'servlets']",0.0,0.0,,,,
106,Full-time,"Junior, Mid-Level",Designer,"Collaboration Tools, Enterprise Software",201–500 people,Private,$60k - 85k (US Dollars),None,"Arlington,VA","['user-interface', 'user-experience', 'design', 'html', 'adobe']",60000.0,85000.0,$,55555.555555555555,78703.7037037037,
107,Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Mobile Development, Software Development, Web Development",51–200 people,Private,$35k - 60k (US Dollars),None,"Bangkok,Thailand","['mobile', 'ios', 'swift']",35000.0,60000.0,$,32407.407407407405,55555.555555555555,
109,Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['python', 'laravel', 'php']",0.0,0.0,,,,
112,Full-time,None,Full Stack Developer,None,None,None,None,None,"Indore,India","['javascript', 'php', 'python']",0.0,0.0,,,,
114,Full-time,None,Backend Developer,None,None,None,$90k - 120k (US Dollars),Remote,Noofficelocation,"['python', 'scikit-learn', 'pytorch', 'docker', 'kubernetes']",90000.0,120000.0,$,83333.33333333333,111111.11111111111,
115,Full-time,"Mid-Level, Senior",Full Stack Developer,"Computer Software, Enterprise Web Solutions, Internet Marketing",501–1k people,VC Funded,€60k - 65k (Euros),None,"Berlin,Germany","['java', 'javascript', 'scrum', 'spring', 'angularjs']",60000.0,65000.0,€,60000.0,65000.0,
118,Full-time,"Mid-Level, Senior, Lead","Backend Developer, Frontend Developer, Full Stack Developer","Financial Services, Financial Technology",11–50 people,Private,$90k - 140k (US Dollars),None,"Sacramento,CA","['node.js', 'typescript', 'git', 'amazon-web-services', 'javascript']",90000.0,140000.0,$,83333.33333333333,129629.62962962962,
120,Full-time,None,Full Stack Developer,None,None,None,None,None,"Kolkata,India","['php', 'mysql', 'angularjs']",0.0,0.0,,,,
123,Full-time,None,Mobile Developer,None,None,None,None,None,"ShinjukuCity,Japan","['perl', 'php', 'android']",0.0,0.0,,,,
126,Full-time,Senior,Full Stack Developer,"Enterprise Software, Real Estate",51–200 people,VC Funded,None,None,"SanFrancisco,CA","['meteor', 'semantic-ui', 'mongodb', 'amazon-s3', 'javascript']",0.0,0.0,,,,
128,Full-time,None,System Administrator,None,None,None,None,None,"Lucerne,Switzerland","['powershell', 'windows', 'web-services']",0.0,0.0,,,,
132,Full-time,"Senior, Lead","Full Stack Developer, Mobile Developer","Agile Software Development, Artificial Intelligence, Medical Devices",10k+ people,Public,$150k - 190k (US Dollars),None,"SanJose,CA","['mobile', 'xamarin', 'cloud']",150000.0,190000.0,$,138888.88888888888,175925.92592592593,
136,Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['ios', 'user-interface', 'android']",0.0,0.0,,,,
137,Full-time,None,Database Administrator,None,None,None,None,None,"Gifu,Japan","['java', 'oracle', 'java-ee']",0.0,0.0,,,,
142,Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['android', 'ios', 'mobile']",0.0,0.0,,,,
144,Full-time,None,Data Scientist,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"LosAngeles,CA","['r', 'python', 'machine-learning']",0.0,0.0,,,,
146,Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Desktop Applications, Language Services, Mobile Application",11–50 people,None,€38k - 52k (Euros),None,"Graz,Austria","['reactjs', 'html', 'css', 'bootstrap-4', 'javascript']",38000.0,52000.0,€,38000.0,52000.0,
148,Full-time,"Senior, Lead",Full Stack Developer,Carsharing,11–50 people,VC Funded,MXN 360k - 960k,None,"CiudaddeMéxico,Mexico","['node.js', 'mongodb', 'javascript', 'testing', 'amazon-web-services']",0.0,0.0,,,,
160,Full-time,"Mid-Level, Senior",Mobile Developer,Software Development / Engineering,201–500 people,Private,None,None,"Skopje,NorthMacedonia","['java', 'android', 'javascript', 'ios', 'reactjs']",0.0,0.0,,,,
162,Full-time,Senior,Mobile Developer,"Platforms, Software Development, Software Development / Engineering",1k–5k people,Public,None,None,"Richmond,BC,Canada","['ios', 'swift', 'objective-c']",0.0,0.0,,,,
163,Full-time,Junior,Full Stack Developer,"condition monitoring, Industrial Automation, Internet of Things",11–50 people,VC Funded,€35k - 45k (Euros),None,"Leiden,Netherlands","['python', 'angular', 'flask', 'aws', 'terraform']",35000.0,45000.0,€,35000.0,45000.0,
169,Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Convenience, Food & Beverage, Retail",10k+ people,Public,None,Remote,"Zürich,Switzerland",[],0.0,0.0,,,,
170,Full-time,None,Mobile Developer,None,None,None,None,None,"Nagoya,Japan","['java', 'swift', 'android']",0.0,0.0,,,,
174,Full-time,"Junior, Mid-Level",DevOps,"Databases, Enterprise Software, Information Technology",11–50 people,VC Funded,$85k - 135k (US Dollars),On-siteandlimitedremote,"Arlington,VA",[],85000.0,135000.0,$,78703.7037037037,124999.99999999999,
176,Full-time,None,Full Stack Developer,None,None,None,None,None,"Bengaluru,India","['mysql', 'web-services', 'design']",0.0,0.0,,,,
177,Full-time,"Senior, Lead","Database Administrator, System Administrator","Banking, Financial Services, Financial Technology",201–500 people,Private,kr576k - 900k (Swedish Kronor),None,"Stockholm,Sweden","['etl', 'tsql', '.net', 'ssis', 'reporting-services', 'sysadmin']",576000.0,900000.0,kr,52363.63636363636,81818.18181818182,
178,Full-time,"Mid-Level, Senior",Full Stack Developer,"B2B, Enterprise Software, SaaS",51–200 people,VC Funded,None,None,"Portland,OR","['reactjs', 'node.js', 'javascript']",0.0,0.0,,,,
179,Full-time,None,Backend Developer,None,None,None,None,None,"Hyderabad,India","['java', 'cloud', 'spring']",0.0,0.0,,,,
183,Full-time,None,Backend Developer,None,None,None,None,None,"Bengaluru,India","['c#', '.net', 'rest']",0.0,0.0,,,,
184,Full-time,"Mid-Level, Senior","DevOps, System Administrator","Banking, Financial Services, Financial Technology",10k+ people,Public,None,On-siteandlimitedremote,"Providence,RI",[],0.0,0.0,,,,
185,Full-time,Senior,"Frontend Developer, Full Stack Developer","Education, Education Technology",51–200 people,Private,€36k - 42k (Euros),None,"Bucharest,Romania","['java', 'c#', 'python', 'javascript']",36000.0,42000.0,€,36000.0,42000.0,
187,Full-time,"Mid-Level, Senior",Backend Developer,"Cybersecurity, Machine Learning, Security Software",51–200 people,VC Funded,None,None,"London,UK","['amazon-web-services', 'docker', 'git', 'spark']",0.0,0.0,,,,
189,Full-time,"Junior, Mid-Level, Senior",Frontend Developer,Automotive,10k+ people,Public,None,Remote,Noofficelocation,[],0.0,0.0,,,,
194,Full-time,"Mid-Level, Senior",Backend Developer,"Big Data, Computer Software, Data & Analytics",11–50 people,Private,None,None,"Berlin,Germany","['java', 'apache-flink', 'flink-streaming', 'kubernetes']",0.0,0.0,,,,
195,Full-time,Junior,Desktop Developer,None,None,None,$65k - 85k (US Dollars),None,"Ashburn,VA","['c#', '.net', 'c#-4.0']",65000.0,85000.0,$,60185.18518518518,78703.7037037037,
200,Full-time,None,Backend Developer,None,None,None,None,None,"SanFrancisco,CA","['ruby', 'mysql', 'node', 'aws', 'backend']",0.0,0.0,,,,
205,Full-time,None,Full Stack Developer,None,None,None,None,None,"Bengaluru,India","['c#', 'reactjs', 'asp.net']",0.0,0.0,,,,
206,Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['c#', '.net', 'xamarin']",0.0,0.0,,,,
208,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['java', 'swift', 'ios']",0.0,0.0,,,,
209,Full-time,None,DevOps,None,None,None,None,None,"Bengaluru,India","['python', 'cloud', 'linux']",0.0,0.0,,,,
213,Full-time,"Mid-Level, Senior","Backend Developer, DevOps","Healthcare, Information Technology, Software Development / Engineering",51–200 people,Private,None,None,"Chicago,IL","['azure', 'azure-devops', 'azure-active-directory', 'azure-sql-database', 'azure-functions', 'sysadmin']",0.0,0.0,,,,
214,Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['user-interface', 'javascript', 'ajax']",0.0,0.0,,,,
215,Full-time,"Mid-Level, Senior, Lead","Backend Developer, Frontend Developer",None,None,None,None,On-siteandlimitedremote,"Leipzig,Deutschland",[],0.0,0.0,,,,
219,Full-time,None,Data Scientist,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"TelAviv-Yafo,Israel","['machine-learning', 'web-services', 'sql']",0.0,0.0,,,,
222,Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['reactjs', 'ios', 'iphone']",0.0,0.0,,,,
224,Full-time,None,Mobile Developer,None,None,None,None,None,"MeguroCity,Japan","['ruby-on-rails', 'ios', 'node.js']",0.0,0.0,,,,
227,Full-time,Mid-Level,Full Stack Developer,"Creative Services, Enterprise Software, Project Management",11–50 people,Private,None,None,"Amsterdam,Netherlands","['reactjs', 'python', 'mongodb', 'docker', 'kubernetes']",0.0,0.0,,,,
230,Full-time,None,Data Scientist,None,None,None,None,None,"Bengaluru,India","['python', 'r', 'scrum']",0.0,0.0,,,,
233,Full-time,"Junior, Mid-Level, Senior",DevOps,"Computer Software, Data & Analytics, Information Technology",201–500 people,Private,None,On-siteandlimitedremote,"Ratingen,Deutschland",[],0.0,0.0,,,,
236,Full-time,None,Mobile Developer,None,None,None,None,None,"Kyoto,Japan","['php', 'laravel', 'swift']",0.0,0.0,,,,
237,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['javascript', 'reactjs', 'css']",0.0,0.0,,,,
239,Full-time,"Junior, Mid-Level, Senior",Backend Developer,"SaaS, Software Development",11–50 people,Private,€40k - 70k (Euros),None,"Bielefeld,Deutschland","['rest', 'java', 'spring-boot', 'jpa', 'sql']",40000.0,70000.0,€,40000.0,70000.0,
242,Full-time,None,"Frontend Developer, Product Manager",None,None,None,None,None,"Pune,India","['python', 'django', 'project-management']",0.0,0.0,,,,
245,Full-time,None,Mobile Developer,None,None,None,None,None,"ShibuyaCity,Japan","['android', 'ios', 'iphone']",0.0,0.0,,,,
246,Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Agile Software Development, DevOps, IT Consulting",51–200 people,Private,€45k - 75k (Euros),On-siteandlimitedremote,"Wolfsburg,Deutschland",[],45000.0,75000.0,€,45000.0,75000.0,
248,Full-time,"Mid-Level, Senior",Desktop Developer,"Enterprise Software, Financial Technology",1k–5k people,Public,None,None,"Melbourne,Australia","['c++', 'sql']",0.0,0.0,,,,
249,Full-time,Mid-Level,Backend Developer,"Legal Technology, Talent Marketplace",1k–5k people,Private,None,None,"Bellevue,WA","['node.js', 'api', 'javascript']",0.0,0.0,,,,
251,Full-time,"Junior, Mid-Level, Senior","Backend Developer, Full Stack Developer","Business Intelligence, Enterprise Software, Government",201–500 people,Private,€42k - 90k (Euros),On-siteandlimitedremote,"Erfurt,Deutschland",[],42000.0,90000.0,€,42000.0,90000.0,
256,Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Cloud Services, Information Technology",10k+ people,Public,None,None,"Vancouver,BC,Canada","['ios', 'android', 'mobile', 'c++']",0.0,0.0,,,,
259,Full-time,Mid-Level,Backend Developer,"Communications, Creative Services, Travel & Tourism",51–200 people,Private,€35k - 45k (Euros),On-siteandlimitedremote,"Milano,Italy",[],35000.0,45000.0,€,35000.0,45000.0,
262,Full-time,None,Mobile Developer,None,None,None,None,None,"Narita,Japan","['android', 'ios', 'swift']",0.0,0.0,,,,
268,Full-time,None,Mobile Developer,None,None,None,None,None,"ChiyodaCity,Japan","['ios', 'java', 'reactjs']",0.0,0.0,,,,
270,Full-time,Senior,DevOps,"Agile Software Development, Banking, Insurance",201–500 people,Private,None,None,"München,Deutschland","['php', 'node.js', 'linux', 'continuous-deployment']",0.0,0.0,,,,
271,Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['android', 'java', 'spring']",0.0,0.0,,,,
272,Full-time,"Mid-Level, Senior",Backend Developer,"Agriculture, Food & Beverage, Information Technology",10k+ people,Public,None,None,"Porto,Portugal","['java', '.net', 'c#', 'web-development-server']",0.0,0.0,,,,
274,Full-time,None,Mobile Developer,None,None,None,None,None,"SahibzadaAjitSinghNagar,India","['reactjs', 'javascript', 'android']",0.0,0.0,,,,
275,Full-time,"Mid-Level, Senior",Full Stack Developer,"Healthcare, Software Development",51–200 people,Private,None,On-siteandlimitedremote,"Vancouver,BC,Canada",[],0.0,0.0,,,,
278,Full-time,Senior,"Frontend Developer, QA/Test Developer","eCommerce, Enterprise Software, Web Technology",51–200 people,VC Funded,None,Remote,Noofficelocation,"['typescript', 'reactjs', 'graphql', 'testing']",0.0,0.0,,,,
279,Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['ios', 'reactjs', 'objective-c']",0.0,0.0,,,,
283,Full-time,Mid-Level,Full Stack Developer,"Artificial Intelligence, Recruiting",11–50 people,VC Funded,$110 - 150 (US Dollars),None,"NewYork,NY","['javascript', 'python', 'vue', 'react', 'angular']",110.0,150.0,$,195555.55555555553,266666.6666666666,
284,Full-time,"Mid-Level, Senior",Database Administrator,"Banking, Finance, Financial Technology",1k–5k people,None,None,None,"FrankfurtamMain,Deutschland","['sql', 'etl', 'database', 'data-warehouse', 'business-intelligence']",0.0,0.0,,,,
285,Full-time,"Mid-Level, Senior",Backend Developer,Software Development / Engineering,501–1k people,Private,€70k - 90k (Euros),None,"München,Deutschland","['java', 'spring-boot', 'amazon-web-services', 'microservices', 'docker']",70000.0,90000.0,€,70000.0,90000.0,
286,Full-time,None,"Frontend Developer, Mobile Developer",None,None,None,None,None,"Noida,India","['jquery', 'javascript', 'android']",0.0,0.0,,,,
287,Full-time,"Mid-Level, Senior","Database Administrator, System Administrator","Information Technology, Software Development, Telecommunications",51–200 people,Private,€60k - 85k (Euros),None,"Hannover,Deutschland","['mysql', 'linux', 'galera', 'nosql', 'database-administration', 'sysadmin']",60000.0,85000.0,€,60000.0,85000.0,
288,Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['android', 'java', 'mobile']",0.0,0.0,,,,
292,Full-time,None,DevOps,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"Boston,MA","['amazon-web-services', 'cloud', 'python']",0.0,0.0,,,,
293,Full-time,"Mid-Level, Senior",Mobile Developer,"eCommerce, Internet Classifieds, Marketplace",51–200 people,Private,None,None,"Stuttgart,Deutschland","['android', 'mobile', 'google-app-engine', 'android-studio']",0.0,0.0,,,,
294,Full-time,Senior,Full Stack Developer,"Communications, Digital Health, Healthcare",11–50 people,Private,£50k - 65k (British Pounds),None,"Oxford,UK","['python', 'postgresql', 'django', 'angular', 'ionic-framework']",50000.0,65000.0,£,56818.181818181816,73863.63636363637,
296,Full-time,"Junior, Mid-Level",Mobile Developer,"Mobile, Web Design, Web Development",11–50 people,Private,$40k - 60k (US Dollars),On-siteandlimitedremote,"NewYork,NY",[],40000.0,60000.0,$,37037.03703703704,55555.555555555555,
297,Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['android', 'java', 'mobile']",0.0,0.0,,,,
298,Full-time,Mid-Level,Backend Developer,"Cybersecurity, Online Education, Web Technology",51–200 people,Private,£30k - 45k (British Pounds),None,"Bristol,UK","['ruby', 'ruby-on-rails', 'rspec', 'reactjs', 'amazon-web-services']",30000.0,45000.0,£,34090.90909090909,51136.36363636364,
305,Full-time,"Lead, Manager",DevOps,"Cloud Computing, Data & Analytics, Security",51–200 people,Private,None,None,"Richmond,VA","['cloud', 'amazon-web-services', 'devops']",0.0,0.0,,,,
308,Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['android', '.net', 'c#']",0.0,0.0,,,,
309,Full-time,None,Mobile Developer,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"SanFrancisco,CA","['continuous-integration', 'c++', 'c']",0.0,0.0,,,,
312,Full-time,"Mid-Level, Senior","DevOps, System Administrator","DevOps, Information Technology, IT Consulting",11–50 people,Private,€50k - 80k (Euros),None,"Cologne,Germany","['amazon-web-services', 'linux', 'cloud', 'docker', 'kubernetes', 'sysadmin']",50000.0,80000.0,€,50000.0,80000.0,
315,Full-time,None,Full Stack Developer,None,None,None,None,None,"Hyderabad,India","['java', 'spring', 'spring-mvc']",0.0,0.0,,,,
316,Full-time,Mid-Level,Backend Developer,None,None,None,None,On-siteandlimitedremote,"Duluth,GA",[],0.0,0.0,,,,
322,Full-time,None,Frontend Developer,None,None,None,None,None,"ShinagawaCity,Japan","['ruby-on-rails', 'ruby', 'coffeescript']",0.0,0.0,,,,
324,Full-time,None,"Full Stack Developer, Mobile Developer",None,None,None,None,None,"Bengaluru,India","['reactjs', 'javascript', 'android']",0.0,0.0,,,,
330,Full-time,"Senior, Lead, Manager",Frontend Developer,"Mobile, SaaS, Security",11–50 people,Private,None,None,"PaloAlto,CA","['reactjs', 'javascript', 'ecmascript-6', 'redux-saga', 'redux']",0.0,0.0,,,,
333,Full-time,Senior,Backend Developer,"Financial Services, One stop shop for Payments, Payment Gateway",201–500 people,Private,None,None,"Sofia,Bulgaria","['ruby-on-rails', 'ruby', 'reactjs']",0.0,0.0,,,,
334,Full-time,None,Full Stack Developer,None,None,None,None,None,"Bengaluru,India","['php', 'laravel', 'mysql']",0.0,0.0,,,,
335,Full-time,None,Database Administrator,None,None,None,None,None,"Fukuoka,Japan","['java', 'php', 'oracle']",0.0,0.0,,,,
336,Full-time,"Senior, Lead",Backend Developer,"Consumer Electronics, eCommerce, Marketplace",51–200 people,VC Funded,€42k - 70k (Euros),Remote,"Wien,Österreich",[],42000.0,70000.0,€,42000.0,70000.0,
340,Full-time,Junior,Backend Developer,"Agile Software Development, Artificial Intelligence, Software Development / Engineering",51–200 people,Private,None,On-siteandlimitedremote,"Heidelberg,Deutschland",[],0.0,0.0,,,,
347,Full-time,"Mid-Level, Senior","Designer, Frontend Developer","eCommerce, Retail",501–1k people,Public,None,None,"München,Germany","['reactjs', 'javascript', 'user-experience', 'html', 'amazon-web-services']",0.0,0.0,,,,
353,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['php', 'javascript', 'ios']",0.0,0.0,,,,
355,Full-time,"Junior, Mid-Level, Senior",Frontend Developer,Software Development,11–50 people,Private,None,None,"Göteborg,Sweden","['reactjs', 'vue.js', 'svelte', 'node.js', 'docker']",0.0,0.0,,,,
356,Full-time,None,Product Manager,"Agile Software Development, Content Marketing, Web Technology",1k–5k people,Public,None,None,"Newark,NJ","['amazon-web-services', 'project-management']",0.0,0.0,,,,
358,Full-time,Mid-Level,Mobile Developer,None,None,None,None,None,"NewYork,NY","['c#', '.net', 'xamarin', 'xamarin.forms', 'java']",0.0,0.0,,,,
360,Full-time,None,Mobile Developer,None,None,None,None,None,"Noida,India","['reactjs', 'javascript', 'ios']",0.0,0.0,,,,
361,Full-time,None,DevOps,None,None,None,None,None,"MinatoCity,Japan","['amazon-web-services', 'automation']",0.0,0.0,,,,
362,Full-time,None,Mobile Developer,None,None,None,None,None,"ShinjukuCity,Japan","['scala', 'swift', 'go']",0.0,0.0,,,,
363,Full-time,None,Frontend Developer,None,None,None,None,None,"MinatoCity,Japan","['go', 'javascript', 'reactjs']",0.0,0.0,,,,
367,Full-time,"Junior, Mid-Level",Data Scientist,"Agile Software Development, Digital Health, Healthcare",11–50 people,VC Funded,None,None,"Beaconsfield,UK","['sql', 'powerbi']",0.0,0.0,,,,
368,Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['ios', 'objective-c', 'mobile']",0.0,0.0,,,,
369,Full-time,None,Mobile Developer,None,None,None,None,None,"SetagayaCity,Japan","['android', 'java', 'mobile']",0.0,0.0,,,,
371,Full-time,None,DevOps,"Computer Software, Data & Analytics",1k–5k people,Private,None,None,"Seattle,WA","['go', 'devops', 'terraform']",0.0,0.0,,,,
373,Full-time,"Senior, Lead, Manager",Mobile Developer,"Computer Software, Desktop Applications, Software Development / Engineering",11–50 people,Private,$50k - 75k (US Dollars),On-siteandlimitedremote,"ShenzhenShi,China",[],50000.0,75000.0,$,46296.29629629629,69444.44444444444,
375,Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"Healthcare, Investment Banking, Oil & Gas",1k–5k people,Private,₹500k - 1800k (Indian Rupees),None,"Bengaluru,India","['asp.net', 'angular', 'c#', 'multithreading', 'asp.net-mvc']",500000.0,1800000.0,₹,4264.392324093817,15351.81236673774,
