"Company Name","Industry","Employment Type","Seniority Level","Company Location","position","Job Functions"
"Progres S.A.","Information Technology & Services","Full-time","Entry level","Jastrowie, PL","Magazynier / Ekspedycja magazynowa","Sales Business Development",
"Pattonair","Information Technology & Services Mechanical Or Industrial Engineering Financial Services","Full-time","Entry level","Wrocław, PL","Quality Technician","Quality Assurance",
"Power Media","Information Technology & Services Computer Software Internet","Full-time","Entry level","Katowice, PL","CIM Officer / Problem Manager","Other",
"TRAX elektronik","Electrical & Electronic Manufacturing","Full-time","Entry level","Kraków, PL","Administrator IT","Information Technology",
"TRAX elektronik","Electrical & Electronic Manufacturing","Full-time","Entry level","Kraków, PL","Administrator IT","Information Technology",
"The Argus","Media Production","Full-time","Entry level","Wieluń, PL","PRACA W OCHRONIE","Other",
"Capital Service S.A. - loan originator, financial broker","Financial Services","Full-time","Entry level","Łódź, PL","Menadżer Regionu","Other",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Łódź, PL","Posadzkarz","Other",
"InPost","Logistics & Supply Chain","Full-time","Entry level","Kalisz, PL","Koordynator Operacji Magazynowych","Project Management Information Technology",
"InPost","Logistics & Supply Chain","Full-time","Entry level","Kalisz, PL","Koordynator Operacji Magazynowych","Project Management Information Technology",
"GF KOMPOZYTY","Logistics & Supply Chain","Full-time","Entry level","Jelcz Laskowice, PL","Magazynier","Sales Business Development",
"GF KOMPOZYTY","Logistics & Supply Chain","Full-time","Entry level","Jelcz Laskowice, PL","Magazynier","Sales Business Development",
"Agencja Zatrudnienia Sidrom Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Lublin, PL","Magazynier - Francja","Sales Business Development",
"Agencja Zatrudnienia Sidrom Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Lublin, PL","Magazynier - Francja","Sales Business Development",
"PPHU CENTRUM","Marketing & Advertising","Full-time","Entry level","Łódź, PL","SZWACZKI ZATRUDNIĘ","Other",
"PPHU CENTRUM","Marketing & Advertising","Full-time","Entry level","Łódź, PL","SZWACZKI ZATRUDNIĘ","Other",
"Poczta Polska S. A.","Logistics & Supply Chain","Full-time","Entry level","Warsaw, PL","Stanowisko ds. Ekspedycyjno-Rozdzielczych","Other",
"BetaMed SA","Hospital & Health Care","Full-time","Associate","Trzemeszno Lubuskie, PL","Pielęgniarka","Health Care Provider",
"PMSolutions","Information Technology & Services Staffing & Recruiting Financial Services","Contract","Associate","Warsaw, PL","QA PROJECT MANAGER WARSAW","Project Management Information Technology",
"GWO","Writing & Editing","Full-time","Entry level","Gdańsk, PL","Wychowawca","Education Training",
"NBCR Rekrutacja IT Sp. z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Inżynier cyberbezpieczeństwa","Engineering Information Technology",
"Probet Sp. z o.o.","Security & Investigations","Full-time","Entry level","Modlniczka, PL","Sprzątaczka","Management Manufacturing",
"TZMO S.A.","Consumer Goods","Full-time","Entry level","Szczecin, PL","Operator procesu","Management Manufacturing",
"Salvor Sp. z o.o. i Wspólnicy Sp. kom.","Mechanical Or Industrial Engineering Oil & Energy Insurance","Full-time","Entry level","Wrocław, PL","BIM Model Manager - Wroclaw, PL","General Business Management Business Development",
"Zakład Utylizacyjny Sp. z o.o.","Utilities","Full-time","Entry level","Świętokrzyskie, PL","Murarz","Other",
"Zakład Utylizacyjny Sp. z o.o.","Utilities","Full-time","Entry level","Świętokrzyskie, PL","Murarz","Other",
"Alfa Elektro Sp. z o.o.","Wholesale","Full-time","Entry level","Warsaw, PL","Magazynier","Sales Business Development",
"Alfa Elektro Sp. z o.o.","Wholesale","Full-time","Entry level","Warsaw, PL","Magazynier","Sales Business Development",
"HR Wise Sp. z o.o.","Human Resources","Full-time","Mid-Senior level","Zabierzów, PL","Kierownik zmiany","Management Manufacturing",
"TOP 100 KANCELARII","Marketing & Advertising","Full-time","Entry level","Łódź, PL","referent","Business Development Sales",
"Cpl Jobs Czech Republic","Information Technology & Services Staffing & Recruiting Human Resources","Full-time","Entry level","Warsaw, PL","Identity & Access ManagementEngineer","Information Technology",
"Cpl Jobs Czech Republic","Information Technology & Services Staffing & Recruiting Human Resources","Full-time","Entry level","Warsaw, PL","Identity & Access ManagementEngineer","Information Technology",
"Zamel","Electrical & Electronic Manufacturing","Full-time","Entry level","Pszczyna, PL","ELEKTRONIK","Engineering Information Technology",
"Zamel","Electrical & Electronic Manufacturing","Full-time","Entry level","Pszczyna, PL","ELEKTRONIK","Engineering Information Technology",
"KAELMO","Computer Software","Full-time","Entry level","Bydgoszcz, PL","Project Manager","Project Management Information Technology",
"KAELMO","Computer Software","Full-time","Entry level","Bydgoszcz, PL","Project Manager","Project Management Information Technology",
"Podlaskie Centrum Opiekunek","Staffing & Recruiting","Full-time","Entry level","Białystok, PL","Poszukujemy Niani","Other",
"Podlaskie Centrum Opiekunek","Staffing & Recruiting","Full-time","Entry level","Białystok, PL","Poszukujemy Niani","Other",
"Polpharma","Electrical & Electronic Manufacturing Construction Staffing & Recruiting","Full-time","Entry level","Sieradz, PL","Operator Techniczny","Management Manufacturing",
"Polpharma","Electrical & Electronic Manufacturing Construction Staffing & Recruiting","Full-time","Entry level","Sieradz, PL","Operator Techniczny","Management Manufacturing",
"Infopulse","Information Technology & Services Computer Software Banking","Full-time","Associate","Warsaw, PL","Delivery Manager","Management Manufacturing",
"Infopulse","Information Technology & Services Computer Software Banking","Full-time","Associate","Warsaw, PL","Delivery Manager","Management Manufacturing",
"Dom Seniora Babie Lato","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Entry level","Dąbie, PL","Pokojowa","Other",
"Zakład Kowalski","Marketing & Advertising","Full-time","Entry level","Gliwice, PL","Odkażanie klatek schodowych","Other",
"Fuero Games","Information Technology & Services Computer Software Computer Games","Full-time","Entry level","Mokotów, PL","Sound Designer","Management Manufacturing",
"Urząd Miejski","Information Technology & Services Computer Software Computer Games","Full-time","Entry level","Modlniczka, PL","robotnik magazynowy","Management Manufacturing",
"Exorigo-Upos","Information Technology & Services Computer Software Management Consulting","Full-time","Entry level","Gliwice, PL","Project Manager - Kierownik Projektu","Project Management Information Technology",
"Milko","Food & Beverages","Full-time","Entry level","Katowice, PL","Kierowca /Dostawca","Management Manufacturing",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Gdynia, PL","Financial Product Specialist","Sales Business Development",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Associate","Złotoryja, PL","Ciekawa oferta","Other",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Associate","Złotoryja, PL","Ciekawa oferta","Other",
"Cpl Jobs Poland","Information Technology & Services Computer Software Financial Services","Contract","Entry level","Szczecin, PL","Recruitment Specialist","Human Resources",
"Cpl Jobs Poland","Information Technology & Services Computer Software Financial Services","Contract","Entry level","Szczecin, PL","Recruitment Specialist","Human Resources",
"Takeaway.com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Witomino, PL","Kurier Gdynia","Management Manufacturing",
"Takeaway.com","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Witomino, PL","Kurier Gdynia","Management Manufacturing",
"MCK","Internet","Full-time","Entry level","Olesno, PL","Szwacz/szwaczka","Other",
"Diaverum","Hospital & Health Care","Full-time","Associate","Kościerzyna, PL","Lekarz/Lekarka","Health Care Provider",
"Diaverum","Hospital & Health Care","Full-time","Associate","Kościerzyna, PL","Lekarz/Lekarka","Health Care Provider",
"ANEGIS","Information Technology & Services Computer Software Management Consulting","Full-time","Entry level","Warsaw, PL","Junior consultant","Consulting Information Technology Sales",
"ANEGIS","Information Technology & Services Computer Software Management Consulting","Full-time","Entry level","Warsaw, PL","Junior consultant","Consulting Information Technology Sales",
"Facebook","Internet","Full-time","Entry level","Warsaw, PL","Client Solutions Manager, CEE","Business Development Sales",
"Facebook","Internet","Full-time","Entry level","Warsaw, PL","Client Solutions Manager, CEE","Business Development Sales",
"FCA Sp. z o.o.","Telecommunications","Full-time","Entry level","Niepołomice, PL","Administrator Sieci Dostępowej","Information Technology",
"FCA Sp. z o.o.","Telecommunications","Full-time","Entry level","Niepołomice, PL","Administrator Sieci Dostępowej","Information Technology",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Radom, PL","krojczy","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Radom, PL","krojczy","Other",
"KOB","Real Estate","Full-time","Entry level","Opole, PL","Zbrojarz","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Pabianice, PL","Koordynator woj. Łódzkie","Other",
"Fallwork Sp. z.o.o.","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Associate","Bydgoszcz, PL","Praca dorywcza od 8-11.03.20","Other",
"PharmiWeb.Jobs","Information Technology & Services Environmental Services Staffing & Recruiting","Full-time","Entry level","Warsaw, PL","Digital Health R&D Process Manager","Design Art/Creative Information Technology",
"Allegro","Marketing & Advertising Management Consulting Financial Services","Full-time","Mid-Senior level","Poznań, PL","Business Applications Administrator (Salesforce)","Administrative",
"HRK S.A.","Information Technology & Services Computer Software Financial Services","Full-time","Mid-Senior level","Gniezno, PL","Automatyk","Other",
"Eaton","Electrical & Electronic Manufacturing Aviation & Aerospace Automotive","Full-time","Director","Warsaw, PL","Manager - Transfer Pricing Controversy (EMEA)","Finance Analyst Accounting/Auditing",
"Allegion, PLC","Electrical & Electronic Manufacturing","Full-time","Director","Zawiercie, PL","szlifierz","Other",
"Progres S.A.","Information Technology & Services","Full-time","Entry level","Leszno, PL","Magazynier / Ekspedycja magazynowa","Sales Business Development",
"Progres S.A.","Information Technology & Services","Full-time","Entry level","Leszno, PL","Magazynier / Ekspedycja magazynowa","Sales Business Development",
"InterKadra Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Niepołomice, PL","Merchandiser mobilny","Sales Business Development",
"InterKadra Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Niepołomice, PL","Merchandiser mobilny","Sales Business Development",
"The Argus","Media Production","Full-time","Entry level","Opole, PL","Praca w ochronie","Other",
"The Argus","Media Production","Full-time","Entry level","Opole, PL","Praca w ochronie","Other",
"Capital Service S.A. - loan originator, financial broker","Financial Services","Full-time","Entry level","Częstochowa, PL","Menadżer Regionu","Other",
"Capital Service S.A. - loan originator, financial broker","Financial Services","Full-time","Entry level","Częstochowa, PL","Menadżer Regionu","Other",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Data Analyst (Warsaw, 3350878)","Information Technology",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Data Analyst (Warsaw, 3350878)","Information Technology",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Warsaw, PL","Opiekunka","Other",
"Jobman Group Sp. z o.o.","Information Technology & Services Financial Services Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Magazynier/Pakowacz","Sales Business Development",
"BetaMed SA","Hospital & Health Care","Full-time","Associate","Świętokrzyskie, PL","Pielęgniarka","Health Care Provider",
"BetaMed SA","Hospital & Health Care","Full-time","Associate","Świętokrzyskie, PL","Pielęgniarka","Health Care Provider",
"PMSolutions","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","wsparcie użytkowników NIEMIECKI","Other",
"PMSolutions","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","wsparcie użytkowników NIEMIECKI","Other",
"Zakład Utylizacyjny Sp. z o.o.","Utilities","Full-time","Entry level","Mazurskie, PL","Murarz","Other",
"Zakład Utylizacyjny Sp. z o.o.","Utilities","Full-time","Entry level","Mazurskie, PL","Murarz","Other",
"Codete GmbH","Information Technology & Services Computer Software Internet","Full-time","Entry level","Kraków, PL","Go Developer @ Codete","Engineering Information Technology",
"NBCR Rekrutacja IT Sp. z o.o.","Information Technology & Services Computer Software Staffing & Recruiting","Full-time","Entry level","Wrocław, PL","Młodszy Tester","Engineering Information Technology",
"DOM POMOCY SPOLECZNEJ","Hospital & Health Care","Full-time","Associate","Lubsko, PL","pielęgniarka","Health Care Provider",
"ZUW URBEX Sp. z o.o.","Mining & Metals","Full-time","Entry level","Lubin, PL","Elektromonter","Management Manufacturing",
"Citi","Banking Financial Services Investment Banking","Full-time","Entry level","Warsaw, PL","KYC Analyst with Turkish","Other",
"Zamel","Electrical & Electronic Manufacturing","Full-time","Associate","Pszczyna, PL","Montażysta","Management Manufacturing",
"Salvor Sp. z o.o. i Wspólnicy Sp. kom.","Mechanical Or Industrial Engineering Oil & Energy Insurance","Full-time","Director","Wrocław, PL","Document Controller - Wroclaw, PL","Administrative",
"LeasingTeam Group","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Associate","Warsaw, PL","Lider","Other",
"LeasingTeam Group","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Associate","Warsaw, PL","Lider","Other",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Gdańsk, PL","Financial Product Specialist","Sales Business Development",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Gdańsk, PL","Financial Product Specialist","Sales Business Development",
"Study Queensland","Education Management","Full-time","Associate","Katowice, PL","Wyniki konkursu na stanowisko adiunkta, przeprowadzonego w IETU w dniach od 18 lutego do 19 marca 2019 r.","Other",
"Study Queensland","Education Management","Full-time","Associate","Katowice, PL","Wyniki konkursu na stanowisko adiunkta, przeprowadzonego w IETU w dniach od 18 lutego do 19 marca 2019 r.","Other",
"TZMO S.A.","Consumer Goods","Full-time","Entry level","Toruń, PL","Dyspozytor Magazynowy","Management Manufacturing",
"TZMO S.A.","Consumer Goods","Full-time","Entry level","Toruń, PL","Dyspozytor Magazynowy","Management Manufacturing",
"Diaverum","Hospital & Health Care","Full-time","Associate","Iława, PL","Lekarz/Lekarka","Health Care Provider",
"Diaverum","Hospital & Health Care","Full-time","Associate","Iława, PL","Lekarz/Lekarka","Health Care Provider",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Pruszcz Gdański, PL","HYDRAULIK - do przyuczenia","Management Manufacturing",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Pruszcz Gdański, PL","HYDRAULIK - do przyuczenia","Management Manufacturing",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Telemonter","Other",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Telemonter","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Piotrków Trybunalski, PL","Koordynator woj. Łódzkie","Other",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Associate","Piotrków Trybunalski, PL","Koordynator woj. Łódzkie","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Wejherowo, PL","HYDRAULIK","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Entry level","Wejherowo, PL","HYDRAULIK","Management Manufacturing",
"Zaklady Miesne NOVE","Food Production","Full-time","Entry level","Zabrze, PL","Stanowisko: Elektromechanik","Other",
"PharmiWeb.Jobs","Information Technology & Services Environmental Services Staffing & Recruiting","Full-time","Entry level","Warsaw, PL","Centralized Monitoring Analyst (programming in R experience)","Engineering Information Technology",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","IT Helpdesk","Information Technology",
"InterKadra Sp. z o.o.","Staffing & Recruiting Human Resources Retail","Full-time","Entry level","Pszczyna, PL","Merchandiser mobilny","Sales Business Development",
"The Argus","Media Production","Full-time","Entry level","Opole, PL","Praca w ochronie","Other",
"Lingaro","Information Technology & Services Internet Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Junior Bi Developer @ Lingaro","Business Development Sales",
"Capital Service S.A. - loan originator, financial broker","Financial Services","Full-time","Entry level","Radomsko, PL","Menadżer Regionu","Other",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Zaścianki, PL","Administrator ds. IT","Information Technology",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Zaścianki, PL","Administrator ds. IT","Information Technology",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Zaścianki, PL","APARATOWY","Other",
"Company Location","Design Staffing & Recruiting Human Resources","Full-time","Entry level","Zaścianki, PL","APARATOWY","Other",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Wrocław, PL","Executive Assistant (Wrocław, 3341734)","Administrative",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Wrocław, PL","Executive Assistant (Wrocław, 3341734)","Administrative",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","Wykładanie towaru","Other",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","Wykładanie towaru","Other",
"Codete GmbH","Information Technology & Services Computer Software Internet","Full-time","Entry level","Lublin, PL","Go Developer @ Codete","Engineering Information Technology",
"Codete GmbH","Information Technology & Services Computer Software Internet","Full-time","Entry level","Lublin, PL","Go Developer @ Codete","Engineering Information Technology",
"KOB","Real Estate","Full-time","Entry level","Opole, PL","Cieśla","Management Manufacturing",
"KOB","Real Estate","Full-time","Entry level","Opole, PL","Cieśla","Management Manufacturing",
"Agencja Zatrudnienia Sidrom Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Lublin, PL","Zrywkarz, operator do zrywki drewna - praca we Francji","Management Manufacturing",
"Agencja Zatrudnienia Sidrom Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Lublin, PL","Zrywkarz, operator do zrywki drewna - praca we Francji","Management Manufacturing",
"Exorigo-Upos","Information Technology & Services Computer Software Management Consulting","Full-time","Entry level","Warsaw, PL","Project Manager - Kierownik Projektu","Project Management Information Technology",
"Salvor Sp. z o.o. i Wspólnicy Sp. kom.","Mechanical Or Industrial Engineering Oil & Energy Insurance","Full-time","Entry level","Wrocław, PL","Graduate Process Engineer - Wroclaw, PL","Management Manufacturing",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Warsaw, PL","Financial Product Specialist","Sales Business Development",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Warsaw, PL","Financial Product Specialist","Sales Business Development",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Associate","Głogów, PL","Ciekawa oferta","Other",
"InPost","Logistics & Supply Chain","Full-time","Entry level","Warsaw, PL","Kurier MPOK","Management Manufacturing",
"Avance Consulting","Information Technology & Services Computer Software Financial Services","Full-time","Entry level","Kraków, PL","User Experience Tester","Engineering Information Technology",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Wiślinka, PL","HYDRAULIK","Management Manufacturing",
"MCK","Internet","Full-time","Entry level","Olesno, PL","Stolarz","Management Manufacturing",
"Global Spolka z o.o.","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Full-time","Entry level","Kobyłka, PL","Wykładanie towaru i prace porządkowe Kobyłka!","Other",
"Progres S.A.","Information Technology & Services","Full-time","Associate","Kutno, PL","EHS Manager","Management Manufacturing",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Miedźna, PL","IT Helpdesk","Information Technology",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Miedźna, PL","IT Helpdesk","Information Technology",
"The Argus","Media Production","Full-time","Entry level","Dobrzeń Wielki, PL","Praca w ochronie","Other",
"The Argus","Media Production","Full-time","Entry level","Dobrzeń Wielki, PL","Praca w ochronie","Other",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Ślusarz","Engineering Information Technology",
"Kolejowe Zakłady Łączności sp. z o.o.","Railroad Manufacture","Full-time","Entry level","Bydgoszcz, PL","Ślusarz","Engineering Information Technology",
"Bidroom","Marketing & Advertising Computer Software Internet","Full-time","Entry level","Kraków, PL","DevOps","Other",
"Bidroom","Marketing & Advertising Computer Software Internet","Full-time","Entry level","Kraków, PL","DevOps","Other",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Wykładanie towaru","Other",
"Jobman Group Sp. z o.o.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Entry level","Warsaw, PL","Wykładanie towaru","Other",
"Zaklady Miesne NOVE","Food Production","Full-time","Entry level","Zabrze, PL","Stanowisko: Ślusarz","Engineering Information Technology",
"Zaklady Miesne NOVE","Food Production","Full-time","Entry level","Zabrze, PL","Stanowisko: Ślusarz","Engineering Information Technology",
"PMSolutions","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","QA Project Lead","Quality Assurance",
"PMSolutions","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","QA Project Lead","Quality Assurance",
"FCA Sp. z o.o.","Telecommunications","Full-time","Entry level","Niepołomice, PL","Monter na produkcje","Management Manufacturing",
"FCA Sp. z o.o.","Telecommunications","Full-time","Entry level","Niepołomice, PL","Monter na produkcje","Management Manufacturing",
"KOB","Real Estate","Full-time","Entry level","Lublin, PL","Cieśla","Management Manufacturing",
"KOB","Real Estate","Full-time","Entry level","Lublin, PL","Cieśla","Management Manufacturing",
"Exorigo-Upos","Information Technology & Services Computer Software Management Consulting","Full-time","Entry level","Gliwice, PL","Project Manager - Kierownik Projektu","Project Management Information Technology",
"Relyon Recruitment & IT Services","Staffing & Recruiting Banking Financial Services","Full-time","Associate","Sopot, PL","Financial Product Specialist","Sales Business Development",
"PROFI CREDIT Polska S.A.","Financial Services","Full-time","Associate","Wołów, PL","Ciekawa oferta","Other",
"Powiatowy Urząd Pracy Łodzi ul. Milionowa","Financial Services","Full-time","Associate","Łódź, PL","Koordynator","Other",
"MCK","Internet","Full-time","Entry level","Olesno, PL","Pomocnik tapicera","Management Manufacturing",
"Progres Sp. Z o.o.","Internet","Full-time","Entry level","Pruszcz Gdański, PL","ELEKTRYK - do przyuczenia","Management Manufacturing",
"Cyclad","Internet","Full-time","Entry level","Warsaw, PL","IT Helpdesk","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Internet","Full-time","Entry level","Świdwin, PL","Kopacz ziemi","Management Manufacturing",
"Powiatowy Urząd Pracy w Świnoujściu","Internet","Full-time","Entry level","Świdwin, PL","Kopacz ziemi","Management Manufacturing",
"Kolejowe Zakłady Łączności sp. z o.o.","Internet","Full-time","Entry level","Bydgoszcz, PL","Ślusarz","Management Manufacturing",
"Kolejowe Zakłady Łączności sp. z o.o.","Internet","Full-time","Entry level","Bydgoszcz, PL","Ślusarz","Management Manufacturing",
